#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,mean,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,location,unit,uuid
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T00:55:00Z,1.55,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T00:56:00Z,1.5333333333333334,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T00:57:00Z,1.5,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T00:58:00Z,1.5833333333333333,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T00:59:00Z,1.5833333333333333,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:00:00Z,1.5333333333333334,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:01:00Z,1.55,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:02:00Z,1.5333333333333334,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:03:00Z,1.5833333333333333,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:04:00Z,1.55,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:05:00Z,1.6166666666666667,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:06:00Z,1.6166666666666667,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:07:00Z,1.6166666666666667,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:08:00Z,1.5833333333333333,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:09:00Z,1.6166666666666667,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:10:00Z,1.55,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:11:00Z,1.6,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:12:00Z,1.6,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:13:00Z,1.55,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:14:00Z,1.5833333333333333,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:15:00Z,1.5833333333333333,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
,,0,2022-02-26T00:00:00Z,2022-02-27T00:00:00Z,2022-02-26T01:16:00Z,1.6333333333333333,totalSolar,Solarpower,Household_Wevelgem,"50.807731, 3.166325",Active Power,94067a3d-1683-45c8-8a58-c9be01697d7c
